@relation converted_data
@attribute a01 numeric
@attribute a02 numeric
@attribute a03 numeric
@attribute a04 numeric
@attribute a05 numeric
@attribute a06 numeric
@attribute a07 numeric
@attribute a08 numeric
@attribute a09 numeric
@attribute a10 numeric
@attribute a11 numeric
@attribute a12 numeric
@attribute a13 numeric
@attribute a14 numeric
@attribute a15 numeric
@attribute a16 numeric
@attribute a17 numeric
@attribute a18 numeric
@attribute a19 numeric
@attribute a20 numeric
@attribute a21 numeric
@attribute a22 numeric
@attribute a23 numeric
@attribute a24 numeric
@attribute a25 numeric
@attribute a26 numeric
@attribute a27 numeric
@attribute a28 numeric
@attribute a29 numeric
@attribute a30 numeric
@attribute a31 numeric
@attribute a32 numeric
@attribute a33 numeric
@attribute a34 numeric
@attribute a35 numeric
@attribute a36 numeric
@attribute a37 numeric
@attribute a38 numeric
@attribute a39 numeric
@attribute a40 numeric
@attribute a41 numeric
@attribute a42 numeric
@attribute a43 numeric
@attribute a44 numeric
@attribute a45 numeric
@attribute a46 numeric
@attribute a47 numeric
@attribute class {0,1,2,3,4,5,6,7,8,9}
@data
0.01,0.83,15.35,75.81,171.55,490.16,206.42,0.12,2.6,11.47,20.04,110.87,99.03,0.1,4.47,37.2,71.68,303.83,444.82,0.32,2.81,7.51,14.2,109.82,0.62,11.9,13.99,6.97,484.78,0.34,6.84,41.17,67.58,1.88,2.28,170.27,158.82,1.71,33.81,9.86,1.4,148.14,326.24,9.71,20.01,47.03,539.21,0
0.04,1.17,10.53,42.37,85.19,420.36,253.57,0.03,0.39,11.7,65.6,97.69,87.95,0.14,3.01,22.84,40.66,186.41,419.54,0.05,3.58,38.55,100.03,85.15,0.41,8.01,53.19,91.37,371.99,0.53,14.38,74.17,82.06,1.35,29.16,211.2,34.6,2.59,35.4,70.68,6.67,155.14,377.83,8.14,44.54,46.34,518.5,0
0.04,1.23,8.27,31.74,54.45,404.1,389.98,0.04,0.94,11.63,33.48,51.71,17.76,0.14,2.38,20.89,68.67,168.42,518.23,0.11,3.38,21.12,52.68,11.77,0.33,7.78,71.37,94.04,402.48,0.48,8.1,40.01,14.87,1.34,35.77,207.15,10.92,1.48,19.48,30.09,7.86,150.13,419.57,4.53,26.29,44.57,549.91,0
0.03,1.64,19.21,51.2,57.18,429.05,256.17,0.07,1.97,13.06,36.08,49.98,55.04,0.19,5.21,25.13,51.94,178.92,386.32,0.25,3.96,20.04,27.57,80.05,0.69,8.23,61.26,112.69,324.85,0.58,7.45,23.67,65.15,1.33,31.81,239.67,21.05,1.35,14.18,30.56,7.1,173.84,441.35,3.71,13.43,51.74,574.89,0
0.02,0.61,8.63,37.33,48.51,459.91,238.57,0.05,1.12,10.01,27.17,67.85,71.51,0.08,2.66,24.9,61.75,216.62,417.66,0.14,3.06,12.78,47.31,66.38,0.38,9.7,75.96,86.05,399.98,0.45,4.06,23.95,50.19,1.72,40,222.23,83.42,0.67,8.71,30.24,9.02,167.02,332.48,1.81,23.69,50.41,492.23,0
0.23,5.04,40.44,142.72,120.59,238.71,193.36,0.03,0.75,6.69,20.09,27.27,58.46,0.65,13.05,93.32,226.66,58.29,194.7,0.09,1.84,12.41,12.57,41.94,1.96,35.85,197.38,192.07,129.51,0.25,4.59,18.3,90.17,6.38,96.35,309.84,120.75,0.81,10.57,97.58,21.34,222.96,451.43,2.59,64.45,67.43,555.3,0
0.07,0.93,30,120.29,149.91,556.82,66.87,0.05,2.23,14.96,3.82,15.19,82.26,0.11,8.7,64.39,60.34,357.54,322.56,0.29,4.47,5.93,42.14,29.31,1.21,21.8,17.19,27.76,448.4,0.65,3.48,47.04,5.6,3.56,7.82,194.89,197.24,0.79,27.69,6.64,2.11,172.71,273.19,7.14,10.64,55.28,511.19,0
0.03,0.61,3.95,15.01,107.22,471.34,247.38,0.04,1.32,5.49,22.61,17.76,21.51,0.07,0.91,2.7,27.19,240.3,508.83,0.16,1.74,19.96,30.85,24.55,0.11,1.76,49.85,70.58,532.07,0.27,8.94,43.91,12.39,0.43,29.78,227.07,186.39,1.78,26.6,11.41,7.06,175.5,301.08,6.84,15.52,53.55,512.6,0
0.05,2.8,39.06,120.85,191.24,563.06,70.51,0.06,0.54,4.85,31.67,50.31,9.39,0.35,11.73,66.93,79.5,408.67,333.4,0.07,1.94,21.33,48.17,24.31,1.67,23.23,23.72,59.64,494.56,0.34,8.66,31.35,16.99,3.87,12.67,179.93,260.58,1.65,13.37,11.61,3.54,176.33,234.96,2.85,15.3,58.37,509.29,0
0.03,1.41,27.85,107.55,151.14,466.42,115.83,0.06,1.26,0.84,14.84,43.19,46.99,0.16,7.62,52.96,50.38,217.45,322.27,0.16,0.32,10.22,28.79,12.89,1.02,16.95,10,92.76,361.44,0.05,4.24,16.29,28.17,2.67,8.47,226.82,82.96,0.81,8.17,31.42,2.46,169.02,328.09,2.12,19.09,50.8,496.23,0
